id,name,start_date,start_admin,agreement_date,close_admin,closed_date,status_result,closure_type,city,state,img
1,New Jersey State Police,12/1/94,Clinton I,12/30/99,Clinton II,10/26/09,Consent Decree ,Consent Decrees,NEWARK ,NJ ,newjersey.jpg
2,Torrance Police Department,5/1/95,Clinton I,9/14/98,Clinton II,9/14/98,Closed without Agreement ,Closed without agreement,TORRANCE ,CA ,torrance.jpg
3,Adelanto Police Department,6/16/95,Clinton I,9/14/98,Clinton II,9/14/98,Closed without Agreement ,Closed without agreement,ADELANTO ,CA ,
4,Steubenville Police Department,7/31/95,Clinton I,9/3/97,Clinton II,3/3/05,Consent Decree ,Consent Decrees,STEUBENVILLE ,OH ,steubenville.jpg
5,Pittsburgh Police Bureau,4/11/96,Clinton I,4/16/97,Clinton II,6/16/05,Consent Decree ,Consent Decrees,PITTSBURGH ,PA ,pittsburgh.jpg
6,Illinois State Police,4/15/96,Clinton I,9/27/02,Bush I,9/27/02,Closed without Agreement ,Closed without agreement,CHICAGO ,IL ,illinois2.jpg
7,New Orleans Police Department,4/15/96,Clinton I,3/23/04,Bush I,3/23/04,Closed without Agreement ,Closed without agreement,NEW ORLEANS ,LA ,neworleans.jpg
8,Montgomery County Police Department,6/1/96,Clinton I,2/1/00,Clinton II,2/1/05,MOA ,Other settlement,MC ,MD ,montgomerycounty2.jpg
9,Los Angeles Police Department,7/31/96,Clinton I,6/15/01,Bush I,5/16/13,Consent Decree ,Consent Decrees,LOS ANGELES ,CA ,losangeles.jpg
10,Beverly Hills Police Department,8/12/96,Clinton I,11/14/00,Clinton II,11/14/00,Closed without Agreement ,Closed without agreement,BEVERLY HILLS ,CA ,beverlyhills2.jpg
11,New York City Police Department (Eastern District),8/21/97,Clinton II,12/23/04,Bush I,12/23/04,Closed without Agreement ,Closed without agreement,BROOKLYN ,NY ,
12,Orange County Sheriff's Office,11/1/97,Clinton II,5/11/01,Bush I,5/11/01,Closed without Agreement ,Closed without agreement,ORLANDO ,FL ,
13,Buffalo Police Department,12/9/97,Clinton II,9/19/02,Bush I,7/8/08,MOA ,Other settlement,BUFFALO ,NY ,buffalo.jpg
14,Columbus Division of Police,3/13/98,Clinton II,9/1/02,Bush I,5/14/04,MOA/LETTER AGREEMENT RESOLVING LITIGATION ,Other settlement,COLUMBUS ,OH ,columbus.jpg
15,Eastpointe Police Department,3/20/98,Clinton II,1/12/05,Bush II,1/12/05,Closed without Agreement ,Closed without agreement,EASTPOINTE ,MI ,eastepointe.jpg
16,District of Columbia Metropolitan Police Department,1/31/99,Clinton II,6/13/01,Bush I,2/10/12,MOA ,Other settlement,WASHINGTON ,DC ,
17,New York City Police Department (Southern District),3/17/99,Clinton II,3/31/05,Bush II,3/31/05,Closed without Agreement ,Closed without agreement,BRONX ,NY ,
18,Charleston Police Department,3/31/99,Clinton II,11/12/03,Bush I,11/12/03,Closed without Agreement ,Closed without agreement,CHARLESTON ,WV ,charlestonwv2.jpg
19,Riverside Police Department,6/29/99,Clinton II,3/26/07,Bush II,3/26/07,Closed without Agreement ,Closed without agreement,RIVERSIDE ,CA ,riverside.jpg
20,Prince George's County Police Department,7/1/99,Clinton II,3/1/04,Bush I,3/12/07,Consent Decree ,Consent Decrees,UPPER MARLBORO ,MD ,princegeorgecounty.jpg
21,Cleveland Police Department,10/1/99,Clinton II,2/1/04,Bush I,3/15/05,MOA/LETTER AGREEMENT ,Other settlement,CLEVELAND ,OH ,
22,Mt. Prospect Police Department,1/1/00,Clinton II,1/22/03,Bush I,12/28/06,MOA ,Other settlement,MOUNT PROSPECT ,IL ,mtprospect.jpg
23,Highland Park Police Department,5/8/00,Clinton II,7/1/01,Bush I,12/7/04,MOA ,Other settlement,HIGHLAND PARK ,IL ,highlandpark.jpg
24,Prince George's County Police Department,10/1/00,Clinton II,1/22/04,Bush I,1/13/09,MOA ,Other settlement,UPPER MARLBORO ,MD ,
25,Detroit Police Department,12/1/00,Clinton II,6/12/03,Bush I,,Consent Decree ,Consent Decrees,DETROIT ,MI ,detroit2.jpg
26,Tulsa Police Department,2/8/01,Bush I,7/21/08,Bush II,7/21/08,Closed without Agreement ,Closed without agreement,TULSA ,OK ,tulsa.jpg
27,Cincinnati Police Department,5/7/01,Bush I,4/12/02,Bush I,4/12/07,MOA ,Other settlement,CINCINNATI ,OH ,cincinnati.jpg
28,Schenectady Police Department,4/4/02,Bush I,1/9/13,Obama II,1/9/13,Closed without Agreement ,Closed without agreement,SCHENECTADY ,NY ,schenectady.jpg
29,Portland Police Department,5/6/02,Bush I,6/27/05,Bush II,6/27/05,Closed without Agreement ,Closed without agreement,PORTLAND ,ME ,portlandmaine.jpg
30,Miami Police Department,5/31/02,Bush I,5/19/06,Bush II,5/19/06,Closed without Agreement ,Closed without agreement,MIAMI ,FL ,miami.jpg
31,Providence Police Department,12/11/02,Bush I,3/26/08,Bush II,3/26/08,Closed without Agreement ,Closed without agreement,PROVIDENCE ,RI ,providence.jpg
32,Villa Rica Police Department,1/27/03,Bush I,12/23/03,Bush I,12/23/06,MOA ,Other settlement,VILLA RICA ,GA ,villarica.jpg
33,Alabaster Police Department,3/4/03,Bush I,9/7/05,Bush II,9/7/05,Closed without Agreement ,Closed without agreement,ALABASTER ,AL ,
34,Bakersfield Police Department,6/24/03,Bush I,1/25/08,Bush II,1/25/08,Closed without Agreement ,Closed without agreement,BAKERSFIELD ,CA ,bakersfield.jpg
35,Virgin Islands Police Department,2/13/04,Bush I,3/23/09,Obama I,,Consent Decree ,Consent Decrees,CHARLOTTE AMALIE ,VI ,
