date,event,id,name,type,details
4/23/98,Major police brutality incident,1,New Jersey State Police,flag,"Two white state troopers fire 11 shots at unarmed, minority men during a routine traffic stop"
12/1/94,DOJ investigation,1,New Jersey State Police,investigation start,DOJ investigation
4/29/99,DOJ investigation findings announced,1,New Jersey State Police,investigation end,DOJ investigation findings announced
4/29/99,Negotiations,1,New Jersey State Police,negotiation start,Negotiations
12/30/99,,1,New Jersey State Police,negotiation end,
12/12/99,DOJ files complaint,1,New Jersey State Police,complaint,DOJ files complaint
12/30/99,Consent decree,1,New Jersey State Police,consent start,Consent decree begins
4/6/04,Consent decree adjusted,1,New Jersey State Police,consent edit,Consent decree readjusted to exclude completed goals
9/21/09,Consent decree ends,1,New Jersey State Police,consent end,Consent decree ends
7/14/93,Separate DOJ lawsuit,2,Torrance Police Department,flag,A DOJ investigation under a separate law examines allegations of racial bias in hiring
5/27/94,Racial bias in traffic stop,2,Torrance Police Department,flag,"Racial bias alleged after high school students Dan Mason, Lohren Price, and Nicholas Cramer are stopped and searched for allegedly not wearing seatbelts"
5/1/95,DOJ investigation,2,Torrance Police Department,investigation start,DOJ investigation
9/14/98,Closed without agreement,2,Torrance Police Department,investigation end,Closed without agreement
6/16/95,DOJ investigation,3,Adelanto Police Department,investigation start,DOJ investigation
9/14/98,Closed without agreement,3,Adelanto Police Department,investigation end,Closed without agreement
7/31/95,DOJ investigation,4,Steubenville Police Department,investigation start,DOJ investigation
5/17/97,DOJ investigation findings announced,4,Steubenville Police Department,investigation end,DOJ investigation findings announced
5/17/97,Negotiations,4,Steubenville Police Department,negotiation start,Negotiations
9/3/97,,4,Steubenville Police Department,negotiation end,
8/28/97,"DOJ files complaint, proposes consent decree",4,Steubenville Police Department,agreement proposed,"DOJ files complaint, proposes consent decree"
9/3/97,Consent decree begins,4,Steubenville Police Department,consent start,Consent decree begins
10/20/97,Police union countersuit,4,Steubenville Police Department,countersuit,Police union countersuit
7/23/98,Police union motion denied by court,4,Steubenville Police Department,countersuit denied,Police union motion denied by court
3/3/05,Consent decree ends,4,Steubenville Police Department,consent end,Consent decree ends
3/27/96,ACLU files lawsuit,5,Pittsburgh Police Bureau,flag,ACLU files a lawsuit against Pittsburgh police department
4/1/96,DOJ investigation,5,Pittsburgh Police Bureau,investigation start,DOJ investigation
1/1/97,DOJ investigation findings announced,5,Pittsburgh Police Bureau,investigation end,DOJ investigation findings announced
1/1/97,Negotiations,5,Pittsburgh Police Bureau,negotiation start,Negotiations
4/16/97,,5,Pittsburgh Police Bureau,negotiation end,
2/26/97,"DOJ files complaint, proposes consent decree",5,Pittsburgh Police Bureau,proposed,DOJ files complaint with proposed consent decree
3/3/97,Police union countersuit,5,Pittsburgh Police Bureau,countersuit,Allen Brunwasser and the police union (Fraternal Order of Police) file motions to intervene
4/16/97,Consent decree begins,5,Pittsburgh Police Bureau,consent start,Consent decree
6/16/05,Consent decree ends,5,Pittsburgh Police Bureau,consent end,Consent decree endsd
8/30/94,Civil rights lawsuit alleges racial bias ,6,Illinois State Police,flag,"Peso Chavez, a Latino private investigator, files a lawsuit with an ACLU attorney alleging racial discrimination"
4/15/96,DOJ investigation,6,Illinois State Police,investigation start,DOJ investigation
9/27/02,Closed without agreement,6,Illinois State Police,investigation end,Closed without agreement
4/15/96,DOJ investigation,7,New Orleans Police Department,investigation start,DOJ investigation
3/23/04,Closed without agreement,7,New Orleans Police Department,investigation end,Closed without agreement
1/1/96,NAACP alleges pattern of poice misconduct,8,Montgomery County Police Department,flag,"After NAACP alleges police misconduct, DOJ launches an investigation"
6/1/96,DOJ investigation,8,Montgomery County Police Department,investigation start,DOJ investigation
1/14/00,,8,Montgomery County Police Department,investigation end,
1/14/00,Memorandum of agreement,8,Montgomery County Police Department,moa start,Memorandum of agreement
2/1/05,Memorandum of agreement ends,8,Montgomery County Police Department,moa end,Memorandum of agreement ends
7/31/96,DOJ investigation,9,Los Angeles Police Department,investigation start,Preliminary investigation opened by DOJ
1/1/99,LAPD anti-gang unit scandal,9,Los Angeles Police Department,flag,The LAPD anti-gang unit is embroiled in a scandal implicating more than 70 officers that garners national attention
9/1/99,"DOJ investigation findings announced, technical assistance letter issued",9,Los Angeles Police Department,investigation end,"DOJ investigation findings announced, technical assistance letter issued"
9/1/99,Negotiations,9,Los Angeles Police Department,negotiation start,Negotiations
6/15/01,,9,Los Angeles Police Department,negotiation end,
9/3/00,DOJ files complaint and consent decree signed,9,Los Angeles Police Department,complaint,"DOJ files complaint against LAPD, consent decree is signed"
9/1/00,"Police union files motion to intervene, which is denied",9,Los Angeles Police Department,countersuit,"LA Police Protective League files motion to intervene, which was denied"
6/15/01,Consent decree begins,9,Los Angeles Police Department,consent start,Consent decree begins
7/17/09,Consent decree turns into transition agreement,9,Los Angeles Police Department,consent edit,"Consent decree ends and transition agreement begins, focusing on the gang units"
5/16/13,Consent decree ends,9,Los Angeles Police Department,consent end,Case is dismissed
11/21/95,6 black people file federal civil rights lawsuit,10,Beverly Hills Police Department,flag,Six black people file a federal civil rights lawsuit against Beverly Hills alleging racial discrimination
8/12/96,Investigation open,10,Beverly Hills Police Department,investigation start,Investigation open
11/14/00,Closed without agreement,10,Beverly Hills Police Department,investigation end,Closed without agreement
8/19/97,4 officers assault and torture Haitian immigrant,11,New York City Police Department (Eastern District),flag,30-year-old Haitian immigrant Abner Louima is tortured by four police officers in a precinct house
8/21/97,DOJ investigation,11,New York City Police Department (Eastern District),investigation start,DOJ investigation
12/23/04,Closed without agreement,11,New York City Police Department (Eastern District),investigation end,Closed without agreement
11/1/97,DOJ investigation,12,Orange County Sheriff's Office,investigation start,DOJ investigation
5/11/01,Closed without agreement,12,Orange County Sheriff's Office,investigation end,Closed without agreement
1/10/07,DOJ investigation,39,Orange County Sheriff's Office,investigation start,DOJ investigation
8/20/08,Technical assistance letter,39,Orange County Sheriff's Office,TA,Technical assistance letter
9/16/10,DOJ investigation findings announced,39,Orange County Sheriff's Office,investigation end,DOJ investigation findings announced
9/16/10,Memorandum of agreement,39,Orange County Sheriff's Office,consent start,Memorandum of agreement
4/2/13,Memorandum of agreement ends,39,Orange County Sheriff's Office,consent end,Memorandum of agreement ends
12/9/97,DOJ investigation,13,Buffalo Police Department,investigation start,DOJ investigation
9/19/02,DOJ investigation findings announced,13,Buffalo Police Department,investigation end,DOJ investigation findings announced
9/19/02,Memorandum of agreement,13,Buffalo Police Department,moa start,"DOJ, Buffalo, BPD, and other parties enter into memorandum of agreement with focus on use of CAP spray"
7/9/07,Memorandum of agreement amended,13,Buffalo Police Department,moa edit,MOA amended
7/9/09,Memorandum of agreement ends,13,Buffalo Police Department,moa end,Memorandum of agreement ends
3/13/98,DOJ investigation,14,Columbus Division of Police,investigation start,DOJ investigation
7/31/98,DOJ investigation findings announced,14,Columbus Division of Police,investigation end,DOJ investigation findings announced
7/31/98,Negotiations,14,Columbus Division of Police,negotiation start,Negotiations
10/20/99,Police union rejects settlement,14,Columbus Division of Police,countersuit,Fraternal Order of Police rejects settlement agreement negotiated earlier between the city and Justice Department
10/21/99,DOJ files complaint,14,Columbus Division of Police,complaint,"DOJ files lawsuit against Columbus, finding a ""pattern or practice"" of civil rights abuse"
10/25/99,Police union files motion to dismiss,14,Columbus Division of Police,countersuit,FOP files motion to dismiss case
9/4/04,,14,Columbus Division of Police,negotiation end,
9/4/04,Memorandum of agreement,14,Columbus Division of Police,moa start,Memorandum of agreement
5/12/04,Memorandum of agreement ends,14,Columbus Division of Police,moa end,Memorandum of agreement ends
3/20/98,DOJ investigation,15,Eastpointe Police Department,investigation start,DOJ investigation
1/12/05,Closed without agreement,15,Eastpointe Police Department,investigation end,Closed without agreement
1/6/99,DC police chief asks DOJ for investigation,16,District of Columbia Metropolitan Police Department,flag,DC Police Chief Charles H. Ramsey asks Justice Department to investigate officer involved in shootings
1/31/99,DOJ investigation,16,District of Columbia Metropolitan Police Department,investigation start,DOJ investigation
6/13/01,DOJ investigation findings announced,16,District of Columbia Metropolitan Police Department,investigation end,DOJ investigation findings announced
6/13/01,Memorandum of agreement,16,District of Columbia Metropolitan Police Department,moa start,Memorandum of agreement
